Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
2937500.0,2843750.0,5796875.0,1023438.0,296875.0,5796875.0,,-2552517.6,337464.4,113409.6,331179.5,-80877.3,4786774.9,,-0.158735741,0.0199223,0.007878589,0.310804857,-0.196633076,0.449955146
3421875.0,1781250.0,7867188.0,1140625.0,265625.0,7062500.0,,-2068142.6,-725035.6,2183722.6,448366.5,-112127.3,6052399.9,,-0.128613471,-0.042802671,0.151703664,0.420782336,-0.272609702,0.568923449
13382813.0,8726563.0,10945313.0,1085938.0,343750.0,5562500.0,,7892795.4,6220277.4,5261847.6,393679.5,-34002.3,4552399.9,,0.490836468,0.367215735,0.365541649,0.369459763,-0.082668137,0.427923979
3664063.0,3367188.0,8640625.0,1250000.0,328125.0,5140625.0,,-1825954.6,860902.4,2957159.6,557741.5,-49627.3,4130524.9,,-0.113552305,0.050823602,0.205434494,0.523428421,-0.12065645,0.388267878
3234375.0,2281250.0,4593750.0,742188.0,265625.0,3664063.0,,-2255642.6,-225035.6,-1089715.4,49929.5,-112127.3,2653962.9,,-0.140273705,-0.013285037,-0.075702755,0.046857781,-0.272609702,0.249471572
1750000.0,2585938.0,4179688.0,968750.0,242188.0,2273438.0,,-3740017.6,79652.4,-1503777.4,276491.5,-135564.3,1263337.9,,-0.232583887,0.0047023,-0.104467728,0.259481345,-0.329590956,0.118753314
2906250.0,2453125.0,5289063.0,671875.0,226563.0,2765625.0,,-2583767.6,-53160.6,-394402.4,-20383.5,-151189.3,1755524.9,,-0.160679113,-0.003138351,-0.027399216,-0.019129457,-0.367579269,0.165018718
3640625.0,2648438.0,2742188.0,835938.0,234375.0,3414063.0,,-1849392.6,142152.4,-2941277.4,143679.5,-143377.3,2403962.9,,-0.115009865,0.008392004,-0.204331153,0.13484014,-0.348586328,0.22597166
3750000.0,1632813.0,4273438.0,1156250.0,328125.0,3773438.0,,-1740017.6,-873472.6,-1410027.4,463991.5,-49627.3,2763337.9,,-0.108208062,-0.051565689,-0.097954896,0.435446063,-0.12065645,0.259752783
4578125.0,1546875.0,3835938.0,929688.0,273438.0,3468750.0,,-911892.6,-959410.6,-1847527.4,237429.5,-104314.3,2458649.9,,-0.056708697,-0.056639061,-0.128348113,0.222822499,-0.25361433,0.231112219
4195313.0,2921875.0,4757813.0,1031250.0,351563.0,2140625.0,,-1294704.6,415589.4,-925652.4,338991.5,-26189.3,1130524.9,,-0.080514976,0.02453443,-0.064305264,0.318136251,-0.063672765,0.106268939
4070313.0,2117188.0,4687500.0,1117188.0,218750.0,2851563.0,,-1419704.6,-389097.6,-995965.4,424929.5,-159002.3,1841462.9,,-0.088288465,-0.022970481,-0.069189923,0.398787216,-0.386574641,0.173096859
8500000.0,1710938.0,3984375.0,1156250.0,210938.0,1992188.0,,3009982.4,-795347.6,-1699090.4,463991.5,-166814.3,982087.9,,0.187184521,-0.046953558,-0.118036163,0.435446063,-0.405567582,0.092315913
5640625.0,3203125.0,6257813.0,1757813.0,367188.0,2859375.0,,150607.4,696839.4,574347.6,1065554.5,-10564.3,1849274.9,,0.009365959,0.041138099,0.039900048,1,-0.025684452,0.173831185
6695313.0,2093750.0,4656250.0,726563.0,414063.0,2960938.0,,1205295.4,-412535.6,-1027215.4,34304.5,36310.7,1950837.9,,0.074954804,-0.02435415,-0.071360867,0.032194055,0.088280487,0.183378071
5515625.0,2093750.0,5054688.0,945313.0,320313.0,3171875.0,,25607.4,-412535.6,-628777.4,253054.5,-57439.3,2161774.9,,0.00159247,-0.02435415,-0.043681296,0.237486225,-0.139649391,0.203206074
8703125.0,2515625.0,5710938.0,1054688.0,187500.0,6109375.0,,3213107.4,9339.4,27472.6,362429.5,-190252.3,5099274.9,,0.199816441,0.000551353,0.001908528,0.34013231,-0.462551267,0.479330036
5226563.0,2382813.0,3343750.0,1125000.0,304688.0,3257813.0,,-263454.6,-123472.6,-2339715.4,432741.5,-73064.3,2247712.9,,-0.016383692,-0.007289239,-0.162540515,0.40611861,-0.177637704,0.211284216
