0   0.005   0.015   0.025   0.035   0.045   0.055   0.065   0.075   0.085   0.095   0.105   0.115   0.125   0.135   0.145   0.155   0.165   0.175   0.185   0.195   0.205   0.215   0.225   0.235   0.245   0.255   0.265   0.275   0.285   0.295   0.305   0.315   0.325   0.335   0.345   0.355   0.365   0.375   0.385   0.395   0.405   0.415   0.425   0.435   0.445   0.455   0.465   0.475   0.485   0.495   0.505   0.515   0.525   0.535   0.545   0.555   0.565   0.575   0.585   0.595   0.605   0.615   0.625   0.635   0.645   0.655   0.665   0.675   0.685   0.695   0.705   0.715   0.725   0.735   0.745   0.755   0.765   0.775   0.785   0.795   0.805   0.815   0.825   0.835   0.845   0.855   0.865   0.875   0.885   0.895   0.905   0.915   0.925   0.935   0.945   0.955   0.965   0.975   0.985   0.995   
0.1   0.00894431   0.0246309   0.0307131   0.0256055   0.0500503   0.0869352   0.0616805   0.0841352   0.103353   0.101514   0.10471   0.139233   0.146927   0.157952   0.147955   0.167797   0.176597   0.180031   0.211256   0.192077   0.224637   0.213021   0.252992   0.265451   0.265258   0.252345   0.273482   0.285484   0.296759   0.29799   0.310623   0.324189   0.353235   0.347432   0.348304   0.361218   0.370732   0.392504   0.388986   0.410912   0.419112   0.426889   0.440727   0.437611   0.450211   0.46186   0.475474   0.504398   0.498362   0.510947   0.513364   0.524056   0.530577   0.539949   0.554687   0.556754   0.585712   0.563982   0.600467   0.595853   0.61374   0.615651   0.633285   0.625049   0.663386   0.664793   0.678871   0.689755   0.692178   0.708658   0.718251   0.715828   0.726961   0.749372   0.753825   0.749088   0.755632   0.784581   0.791601   0.803194   0.805792   0.822706   0.815681   0.83913   0.831015   0.85599   0.87224   0.875033   0.878381   0.889506   0.912726   0.913942   0.907308   0.937655   0.943481   0.942916   0.95377   0.953607   0.977645   0.99148   
0.2   0.0125274   0.0333808   0.0359031   0.0170686   0.0546378   0.11594   0.058664   0.0924314   0.120018   0.107429   0.104445   0.161226   0.166825   0.178776   0.150636   0.179404   0.187114   0.184592   0.235048   0.189427   0.242425   0.211227   0.278329   0.293003   0.283586   0.24994   0.281153   0.294962   0.307387   0.300692   0.315702   0.332484   0.378698   0.358645   0.351283   0.366822   0.375897   0.40826   0.392573   0.425222   0.431798   0.437573   0.454849   0.439954   0.454887   0.468013   0.48486   0.530701   0.510321   0.525208   0.520843   0.532147   0.535557   0.544367   0.563325   0.558317   0.604144   0.554163   0.614215   0.596611   0.621501   0.616228   0.64063   0.616221   0.67965   0.673454   0.691125   0.702779   0.698511   0.720694   0.729919   0.716555   0.728685   0.761991   0.76157   0.743896   0.747411   0.792965   0.797374   0.81035   0.806482   0.829423   0.807551   0.842724   0.818835   0.856849   0.878518   0.87506   0.872644   0.88475   0.919396   0.913027   0.892025   0.939939   0.942173   0.932519   0.94412   0.935225   0.971343   0.988468   
0.3   0.0157813   0.0413291   0.0406168   0.0093099   0.0588035   0.142272   0.0559218   0.0999642   0.135145   0.112798   0.104203   0.181177   0.184873   0.197659   0.153066   0.189929   0.196648   0.188726   0.256594   0.187022   0.25853   0.209599   0.301243   0.317908   0.300157   0.247762   0.288088   0.303528   0.316986   0.303131   0.320286   0.33997   0.401634   0.368753   0.353968   0.371871   0.380547   0.422431   0.3958   0.438082   0.443194   0.447166   0.467519   0.442057   0.459081   0.473527   0.493266   0.554196   0.521015   0.53795   0.527525   0.539371   0.540002   0.548307   0.571022   0.559708   0.620522   0.545405   0.626422   0.597283   0.628386   0.616739   0.647137   0.608382   0.694017   0.681108   0.701938   0.71426   0.704094   0.731287   0.740179   0.717195   0.730199   0.773056   0.768361   0.739334   0.740191   0.800294   0.802417   0.816595   0.807083   0.835274   0.800451   0.845848   0.808211   0.857594   0.883958   0.875082   0.867667   0.880629   0.925149   0.912236   0.878799   0.941904   0.941046   0.923561   0.935817   0.919396   0.965936   0.985889   
0.4   0.0187352   0.0485478   0.0448967   0.00225713   0.0625852   0.166167   0.0534278   0.106802   0.148873   0.11767   0.10398   0.199267   0.201236   0.214775   0.155269   0.199469   0.205288   0.192471   0.276092   0.184838   0.273101   0.208121   0.321947   0.340397   0.315131   0.245787   0.294355   0.311264   0.325653   0.305332   0.324424   0.346721   0.42227   0.377859   0.356386   0.376417   0.384733   0.435166   0.398702   0.449628   0.453423   0.455775   0.478877   0.443942   0.46284   0.478467   0.500788   0.575148   0.530569   0.549322   0.533492   0.545817   0.543966   0.551819   0.577875   0.560946   0.635057   0.537588   0.637249   0.597877   0.634491   0.61719   0.652898   0.601415   0.706691   0.687865   0.71147   0.72437   0.709014   0.740601   0.749194   0.717755   0.731529   0.782748   0.77431   0.735323   0.733844   0.806695   0.80682   0.822041   0.807605   0.840366   0.794246   0.848563   0.798935   0.858238   0.888668   0.875098   0.863346   0.877056   0.930108   0.911549   0.867335   0.943592   0.940073   0.915834   0.928664   0.905738   0.961294   0.983678   
0.5   0.0214154   0.0551024   0.0487814   -0.00415516   0.0660168   0.187841   0.0511582   0.113007   0.161327   0.12209   0.103774   0.215662   0.216064   0.23028   0.157263   0.208113   0.213116   0.195863   0.293724   0.182855   0.286278   0.206778   0.340639   0.360686   0.328651   0.243996   0.300016   0.318249   0.333474   0.307318   0.328155   0.352807   0.440816   0.386058   0.358562   0.380509   0.388499   0.446602   0.40131   0.459988   0.462598   0.463495   0.489051   0.445631   0.466208   0.482889   0.507516   0.593804   0.5391   0.559464   0.538816   0.551566   0.547501   0.554948   0.583973   0.562045   0.64794   0.530606   0.646843   0.598402   0.6399   0.617586   0.657995   0.59522   0.717859   0.693827   0.719864   0.733263   0.713345   0.748782   0.757105   0.718244   0.732694   0.791227   0.779517   0.731793   0.728261   0.812281   0.810661   0.826785   0.808058   0.844793   0.788818   0.85092   0.790826   0.858793   0.892742   0.875109   0.859591   0.873955   0.934377   0.910953   0.857384   0.945041   0.939232   0.909161   0.922496   0.893934   0.957305   0.981781   
0.6   0.0238459   0.0610524   0.052306   -0.00998643   0.0691294   0.207488   0.0490916   0.118636   0.172621   0.126097   0.103583   0.230513   0.229496   0.244319   0.159068   0.215942   0.220204   0.198933   0.309657   0.181051   0.298188   0.205556   0.3575   0.378973   0.340851   0.242369   0.305127   0.324552   0.340528   0.309106   0.331519   0.35829   0.457466   0.393437   0.36052   0.38419   0.391884   0.456863   0.403651   0.469277   0.470823   0.470414   0.498157   0.447143   0.469223   0.486847   0.51353   0.610391   0.546711   0.568501   0.543565   0.556688   0.550649   0.557733   0.589395   0.563021   0.659346   0.524366   0.655336   0.598864   0.644689   0.617933   0.662501   0.589707   0.727688   0.699082   0.72725   0.741079   0.717156   0.75596   0.764041   0.71867   0.733714   0.798638   0.784072   0.728684   0.723345   0.817151   0.814008   0.830914   0.808448   0.848639   0.784065   0.852964   0.78373   0.859271   0.896262   0.875113   0.856326   0.871261   0.93805   0.910434   0.848737   0.946283   0.938503   0.903393   0.917171   0.883717   0.953873   0.980152   
0.7   0.0260487   0.066452   0.0555025   -0.0152907   0.0719512   0.225289   0.0472083   0.123741   0.182858   0.129729   0.103403   0.243958   0.241656   0.257024   0.1607   0.223029   0.22662   0.201711   0.324045   0.17941   0.308946   0.204443   0.372697   0.39544   0.351853   0.240891   0.309739   0.330238   0.346886   0.310717   0.33455   0.363229   0.472398   0.400072   0.362279   0.387499   0.394926   0.466063   0.405752   0.477599   0.47819   0.476612   0.506302   0.448494   0.47192   0.490385   0.518902   0.62512   0.553496   0.576547   0.547797   0.56125   0.553452   0.560211   0.594213   0.563884   0.669433   0.518785   0.662848   0.599268   0.648925   0.618235   0.666481   0.584798   0.736329   0.703712   0.733741   0.74794   0.720506   0.762254   0.770118   0.71904   0.734605   0.805109   0.788052   0.725944   0.719013   0.821394   0.816924   0.834505   0.808783   0.851977   0.7799   0.854735   0.777515   0.859681   0.899303   0.875112   0.853484   0.868919   0.941207   0.909979   0.841213   0.947345   0.93787   0.898402   0.912571   0.874862   0.950919   0.978751   
0.8   0.0280435   0.0713504   0.0583997   -0.020117   0.0745077   0.241407   0.0454906   0.128369   0.192136   0.133019   0.103233   0.256125   0.252659   0.268516   0.162174   0.229444   0.232425   0.204221   0.337029   0.177915   0.318658   0.203428   0.386384   0.410254   0.361769   0.239546   0.313899   0.335363   0.352615   0.312165   0.337278   0.367673   0.485777   0.406037   0.363858   0.390471   0.397657   0.474307   0.407635   0.48505   0.484786   0.482159   0.513581   0.4497   0.474331   0.493547   0.523696   0.638182   0.559541   0.583704   0.551566   0.565309   0.555946   0.562413   0.59849   0.564647   0.678346   0.513789   0.669487   0.599622   0.652671   0.618497   0.669994   0.580422   0.743918   0.707786   0.739443   0.753959   0.723448   0.767767   0.775436   0.719358   0.735382   0.810754   0.791527   0.723526   0.715193   0.825087   0.819461   0.837626   0.809068   0.854873   0.776248   0.856267   0.772066   0.86003   0.901925   0.875103   0.851007   0.86688   0.943917   0.90958   0.834661   0.948253   0.937319   0.894079   0.908593   0.867179   0.948373   0.977543   
0.9   0.0298484   0.0757924   0.0610242   -0.02451   0.0768223   0.255995   0.0439224   0.132562   0.200539   0.135998   0.103071   0.267129   0.262611   0.278905   0.163503   0.235246   0.237674   0.206489   0.348739   0.176552   0.327421   0.2025   0.3987   0.423571   0.3707   0.23832   0.317649   0.33998   0.357774   0.313465   0.339733   0.371671   0.497753   0.411395   0.365274   0.39314   0.400108   0.481688   0.409322   0.491716   0.490686   0.487121   0.520083   0.450774   0.476485   0.49637   0.527973   0.649753   0.564922   0.590067   0.554921   0.568919   0.558161   0.564368   0.602286   0.565319   0.686212   0.509316   0.675349   0.599928   0.655979   0.618722   0.673092   0.57652   0.750578   0.711369   0.744445   0.759234   0.726029   0.772591   0.780087   0.719631   0.736058   0.815674   0.794559   0.721391   0.711822   0.828298   0.821666   0.840335   0.80931   0.857381   0.773042   0.857591   0.767286   0.860326   0.904185   0.875089   0.848847   0.865104   0.946242   0.909228   0.828949   0.949026   0.936836   0.890332   0.905149   0.860505   0.946176   0.976502   
